area_type,availability,location,size,total_sqft,bath,balcony,price
Super built-up  Area,18-Sep,Hebbal,2 BHK,1337,2,1,82
Super built-up  Area,Ready To Move,Chandapura,2 BHK,1200,2,2,32
Super built-up  Area,Ready To Move,Koramangala,3 BHK,1580,3,2,160
Super built-up  Area,Ready To Move,Begur Road,3 BHK,1500,2,3,54
Super built-up  Area,18-Sep,Whitefield,3 BHK,1640,4,2,91
Super built-up  Area,Ready To Move,Silver Springs Layout,3 BHK,1570,3,2,62
Super built-up  Area,Ready To Move,Gubbalala,3 BHK,1470,2,2,82
Super built-up  Area,Ready To Move,Kengeri,2 BHK,1160,2,2,40.61
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1050,2,1,71
Super built-up  Area,20-Jun,Dairy Circle,3 BHK,1855,3,1,225
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,1460,2,1,90
Built-up  Area,Ready To Move,Hulimavu,3 BHK,1823,3,2,100
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1094,2,2,42
Super built-up  Area,Ready To Move,Budigere,2 BHK,1153,2,2,57
Built-up  Area,Ready To Move,Hoysalanagar,3 BHK,1325,3,1,57
Plot  Area,Ready To Move,Parappana Agrahara,4 Bedroom,1200,3,2,85
Built-up  Area,Ready To Move,Jakkur,3 BHK,1590,2,2,125
Plot  Area,Ready To Move,Jeevan bima nagar,5 Bedroom,1210,4,2,160
Plot  Area,Ready To Move,Raja Rajeshwari Nagar,4 Bedroom,1200,4,0,220
Super built-up  Area,Ready To Move,Narayana Nagar 1st Block,2 BHK,1202,2,1,48
Built-up  Area,Ready To Move,Haralur Road,2 BHK,1202,2,1,53
Super built-up  Area,Ready To Move,KSRTC Layout,2 BHK,1200,2,3,62.5
Super built-up  Area,18-Feb,Panathur,3 BHK,1688,3,1,118
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,1020,2,1,52
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,1185,2,2,47
Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,1235,2,1,52.04
Super built-up  Area,Ready To Move,Hosakerehalli,4 BHK,3205,5,1,500
Super built-up  Area,Ready To Move,Banashankari,2 BHK,1077,2,2,37.64
Super built-up  Area,Ready To Move,Kengeri Satellite Town,3 BHK,1415,2,3,66
Super built-up  Area,18-Apr,EPIP Zone,3 BHK,2330,3,2,162
Super built-up  Area,Ready To Move,Whitefield,2 BHK,805,2,2,35
Built-up  Area,Ready To Move,P&T Colony,1 BHK,425,1,0,20.03
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1155,2,3,59.95
Super built-up  Area,Ready To Move,Cunningham Road,4 BHK,5270,4,3,1250
Super built-up  Area,Ready To Move,Anekal,2 BHK,656,2,1,22
Built-up  Area,Ready To Move,New Gurappana Palya,2 BHK,1100,2,0,48
Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,1150,2,3,52
Plot  Area,Ready To Move,Chelekare,1 Bedroom,600,1,1,60
Super built-up  Area,Ready To Move,Ambedkar Colony,2 BHK,1468,2,1,140
Plot  Area,Ready To Move,Palanahalli,4 Bedroom,4300,5,2,550
Super built-up  Area,18-Dec,Whitefield,3 BHK,2280,4,2,126
Super built-up  Area,Ready To Move,Hegde Nagar,2 BHK,1341,2,1,97
Super built-up  Area,Ready To Move,Jakkur,2 BHK,1279,2,1,77
Super built-up  Area,18-Dec,Electronic City Phase II,4 BHK,2225,4,0,98.88
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,1185,2,2,43.51
Super built-up  Area,Ready To Move,Vadarpalya,3 BHK,1750,3,2,85
Super built-up  Area,Ready To Move,Kudlu,2 BHK,1152,2,1,53.5
Plot  Area,Ready To Move,Shivanagar,5 Bedroom,1000,4,1,160
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,1300,2,3,36
Plot  Area,18-Nov,Varthur Road,4 Bedroom,2760,4,2,155
Super built-up  Area,18-Aug,5th Phase JP Nagar,2 BHK,1070,2,2,39
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,1101,2,0,45
Super built-up  Area,Ready To Move,V.V Puram,2 BHK,775,2,1,55
Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,667,1,1,36.85
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1070,2,1,55
Built-up  Area,Ready To Move,Old Airport Road,3 BHK,1875,2,2,110
Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,735,2,1,57.99
Plot  Area,Ready To Move,Sarjapur,5 Bedroom,4360,4,1,90
Super built-up  Area,Ready To Move,Koramangala,3 BHK,1750,3,2,130
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1215,2,1,67
Plot  Area,Ready To Move,Sector 3 HSR Layout,9 Bedroom,600,9,3,190
Super built-up  Area,Ready To Move,Vishwapriya Layout,2 BHK,820,2,1,30
Super built-up  Area,20-Dec,Banashankari Stage VI,2 BHK,1160 - 1195,2,0,59.935
Super built-up  Area,Ready To Move,Battarahalli,3 BHK,1779,3,2,89.61
Built-up  Area,Ready To Move,HMT Layout,2 BHK,1105,2,2,58
Built-up  Area,Ready To Move,Basavanagara,1 BHK,1000Sq. Meter,2,1,93
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1650,3,2,60
Super built-up  Area,Ready To Move,Jalahalli,2 BHK,1694,2,2,150
Super built-up  Area,Ready To Move,Hosakerehalli,3 BHK,2376,3,1,203
Super built-up  Area,Ready To Move,Cox Town,3 BHK,1975,3,3,150
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,674,2,1,33
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,1185,2,1,41
Super built-up  Area,Ready To Move, Thanisandra,1 RK,445,1,0,28
Built-up  Area,Ready To Move,Mylasandra,6 Bedroom,900,7,,76
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,1475,3,2,75
Super built-up  Area,Ready To Move,Gottigere,3 BHK,1618,3,3,82.5
Super built-up  Area,Ready To Move,Koramangala,2 BHK,1120,2,0,65
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,2181,3,2,152
Plot  Area,Ready To Move,Vidyaranyapura,4 Bedroom,1200,4,0,90
Plot  Area,Ready To Move,Nagondanahalli,6 Bedroom,600,4,3,65
Super built-up  Area,18-Oct,Bannerghatta Road,3 BHK,1556,2,1,59.13
Super built-up  Area,19-Feb,Bannerghatta Road,2 BHK,1179,2,1,66.02
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,1296,2,2,83
Built-up  Area,Ready To Move,Kaggadasapura,2 BHK,1275,2,2,52
Built-up  Area,Ready To Move,Kalasipalya,7 Bedroom,1875,2,2,300
Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,1400,2,2,77
Super built-up  Area,Ready To Move,Gottigere,2 BHK,1222,2,1,63
Super built-up  Area,Ready To Move,Electronic City,2 BHK,940,2,1,41
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,1185,2,2,42.6
Super built-up  Area,Ready To Move,Tumkur Road,3 BHK,1779,3,2,112
Super built-up  Area,Ready To Move,Begur Road,3 BHK,1615,3,2,59.76
Super built-up  Area,18-Dec,JP Nagar,4 BHK,4000 - 5249,,,453
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,1056,2,1,61
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1100,2,0,46
Built-up  Area,Ready To Move,Arekere,2 BHK,920,2,1,40
Super built-up  Area,Ready To Move,ITI Layout,3 BHK,1602,2,0,75
Built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,1176,2,0,62
Plot  Area,Ready To Move,HBR Layout,4 Bedroom,675,3,1,59
Super built-up  Area,Ready To Move,Richmond Town,3 BHK,1352,3,0,135
Built-up  Area,Ready To Move,Kasavanhalli,3 BHK,1717,3,3,99
Plot  Area,18-Apr,4 Bedroom Farm House in Bagalur,4 Bedroom,10961,4,1,80
Super built-up  Area,18-Jul,Bhoganhalli,4 BHK,2119,4,3,111
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,1246,2,1,67.3
Super built-up  Area,17-Jul,Anandapura,2 BHK,1141,2,1,42.79
Built-up  Area,Ready To Move,Hennur Road,2 BHK,1157,2,1,84
Super built-up  Area,18-Aug,Chandapura,2 BHK,1025,2,2,27.68
Built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,650,1,2,33
Super built-up  Area,Ready To Move,Hebbal,2 BHK,1349,2,1,98
Super built-up  Area,Ready To Move,Narayanapura,3 BHK,1566,3,1,83.3
Super built-up  Area,Ready To Move,Sahakara Nagar,4 BHK,2830,3,3,195
Built-up  Area,18-Dec,Electronic City,3 BHK,1320,2,1,38.13
Super built-up  Area,18-Nov,manyata park,3 BHK,1780,3,1,84.83
Super built-up  Area,Ready To Move,Varthur,2 BHK,1091,2,1,34.9
Super built-up  Area,Ready To Move,Rachenahalli,4 BHK,3670,4,3,300
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,918,2,1,50.49
Super built-up  Area,20-Dec,Yeshwanthpur,4 BHK,1950,4,0,130
Super built-up  Area,Ready To Move,Panathur,3 BHK,1695,3,1,90
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1705,3,2,95
Built-up  Area,Ready To Move,Kalyan nagar,3 BHK,1375,3,2,75
Super built-up  Area,21-Oct,Kanakpura Road,1 BHK,525,1,1,30
Built-up  Area,20-Dec,Whitefield,2 BHK,1447,2,1,83
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,1114,2,1,39
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1450,2,1,100
Super built-up  Area,Ready To Move,Belathur,2 BHK,460,1,0,15
Built-up  Area,Ready To Move,Vasanthapura,2 BHK,1022,2,2,40
Built-up  Area,Ready To Move,Hebbal,2 BHK,1000,2,2,45
Super built-up  Area,18-Apr,Electronic City,2 BHK,1128,2,1,68.75
Super built-up  Area,18-May,Kanakpura Road,2 BHK,1180,2,2,57
Built-up  Area,Ready To Move,TC Palaya,6 Bedroom,1000,6,1,69
Plot  Area,Ready To Move,Nagarbhavi,2 Bedroom,1200,2,1,150
Super built-up  Area,Ready To Move,Sadashiva Nagar,3 BHK,3761,3,2,660
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,1339,2,3,75
Super built-up  Area,Ready To Move,Yelachenahalli,3 BHK,1400,2,3,55
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1040,2,1,39.52
Super built-up  Area,Ready To Move,Kadugodi,2 BHK,1198,2,2,58
Plot  Area,Ready To Move,Shirdi Sai Layout,4 Bedroom,1200,3,,95
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1691,3,2,113
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1075,3,2,36
Super built-up  Area,18-Jun,1st Block Jayanagar,3 BHK,1630,3,2,194
Super built-up  Area,18-Jun,8th Phase JP Nagar,3 BHK,1240,3,2,43.5
Super built-up  Area,22-Dec,Bannerghatta Road,2 BHK,1115 - 1130,2,0,58.935
Super built-up  Area,Ready To Move,Mallasandra,3 BHK,1665,3,2,86.58
Built-up  Area,Ready To Move,Marathahalli,3 BHK,2489,3,,94
Built-up  Area,Ready To Move,Brookefield,2 BHK,1142,2,2,70
Super built-up  Area,Ready To Move,Kodbisanhalli,3 BHK,1976,3,1,184
Plot  Area,Ready To Move,Sathya Sai Layout,4 Bedroom,5500,4,,600
Super built-up  Area,Ready To Move,Kothannur,3 BHK,1853,3,2,82
Plot  Area,Ready To Move,Vijayanagar,8 Bedroom,600,4,1,72
Super built-up  Area,Ready To Move,Kasturi Nagar,2 BHK,1567,2,2,92
Super built-up  Area,Ready To Move,Talaghattapura,2 BHK,1090,2,1,27.24
Plot  Area,Ready To Move,Raja Rajeshwari Nagar,6 Bedroom,1200,4,2,125
Plot  Area,Ready To Move,Indiranagar HAL 2nd Stage,4 Bedroom,2400,4,1,640
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,1175,2,2,51.47
Built-up  Area,Ready To Move,Subramanyapura,2 BHK,1200,2,2,52
Built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,995,2,1,41
Super built-up  Area,Ready To Move,Magadi Road,2 BHK,884,2,1,41.1
Plot  Area,Ready To Move,Vishwanatha Nagenahalli,5 Bedroom,900,3,2,80
Built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,1170,2,2,57
Super built-up  Area,Ready To Move,KR Puram,2 BHK,1225,2,1,46.55
Super built-up  Area,18-Apr,Electronic City,2 BHK,1342,2,1,73.3
Built-up  Area,19-Dec,Uttarahalli,2 BHK,1345,2,1,67
Built-up  Area,Ready To Move,Kodigehaali,3 BHK,1320,3,0,65
Super built-up  Area,Ready To Move,Singapura Village,2 BHK,1100Sq. Yards,2,,45
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1140,2,1,49.39
Super built-up  Area,Ready To Move,Battarahalli,2 BHK,1300,2,1,50
Super built-up  Area,Ready To Move,Hosa Road,3 BHK,1652,3,2,85
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,2072,4,2,142
Built-up  Area,Ready To Move,Arekere,3 BHK,1740,2,,95
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1360,2,1,71
Super built-up  Area,Ready To Move,Hosur Road,3 BHK,1145,2,2,60
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,1540,2,0,40
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1278,2,2,95
Super built-up  Area,18-May,Electronic City Phase II,1 BHK,630,1,1,40
Super built-up  Area,21-Jan,Kanakpura Road,3 BHK,1100,3,2,58
Plot  Area,Ready To Move,Bendiganahalli,3 Bedroom,1200,3,0,95
Built-up  Area,Ready To Move,Hosakerehalli Layout,7 Bedroom,2500,6,2,115
Super built-up  Area,18-Jun,Chandapura,1 BHK,520 - 645,1,0,15.135
Super built-up  Area,18-Sep,Chandapura,2 BHK,1015,2,2,25.88
Built-up  Area,Ready To Move,Hosur Road,5 Bedroom,3300,5,2,240
Plot  Area,Ready To Move,Basaveshwara Nagar,5 Bedroom,4500,5,1,415
Super built-up  Area,Ready To Move,Gunjur,3 BHK,1356,2,3,66
Super built-up  Area,Ready To Move,Hennagara,2 BHK,823,2,1,28
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,1200,2,0,66
Built-up  Area,Ready To Move,Ramamurthy Nagar,2 BHK,1050,2,0,37
Super built-up  Area,Ready To Move,Ferrar Nagar,2 BHK,1180,2,1,69
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1116,2,3,51.91
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1070,2,1,42.79
Super built-up  Area,17-Mar,Varthur,2 BHK,1385,2,3,80
Plot  Area,Ready To Move,Varthur,1 Bedroom,1000,1,1,70
Built-up  Area,18-Feb,Whitefield,3 BHK,1897,3,2,130
Super built-up  Area,18-Aug,Magadi Road,2 BHK,1005,2,1,55.78
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,1575,3,2,125
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,975,2,1,65
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,1904,3,2,120
Super built-up  Area,Ready To Move,Kengeri Satellite Town,1 BHK,930,1,1,30
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,525,1,1,26
Super built-up  Area,Ready To Move,BAGUR,1 BHK,686,1,1,17
Plot  Area,Ready To Move,Electronic City Phase II,2 Bedroom,2400,3,1,150
Plot  Area,Ready To Move,8th block Koramangala,2 Bedroom,1410,1,0,233
Built-up  Area,18-Apr,Sarjapur  Road,3 Bedroom,2238,3,1,140
Super built-up  Area,Ready To Move,Harlur,2 BHK,1174,2,1,69
Built-up  Area,Ready To Move,Thubarahalli,4 Bedroom,3800,4,3,239
Super built-up  Area,Ready To Move,Whitefield,3 BHK,2225,2,1,125
Super built-up  Area,Ready To Move,M.G Road,2 BHK,1250,2,0,200
Super built-up  Area,Ready To Move,Jigani,2 BHK,918,2,2,52
Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,1250,2,3,52
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1800,3,,110
Built-up  Area,Ready To Move,Marathahalli,2 BHK,1170,2,3,53
Super built-up  Area,Ready To Move,Byatarayanapura,1 BHK,1300,1,0,200
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,793,2,1,45
Super built-up  Area,Ready To Move,Jakkur,3 BHK,1710,3,2,107
Super built-up  Area,Ready To Move,Kambipura,3 BHK,1082,2,1,57.5
Super built-up  Area,18-Mar,Naganathapura,2 BHK,1001,2,2,33.03
Built-up  Area,Ready To Move,Srinivasa Nagar,4 Bedroom,1500,4,,180
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1590,2,1,54
Super built-up  Area,Ready To Move,Basavanagara,3 BHK,2400,2,0,80
Super built-up  Area,Ready To Move,Horamavu Banaswadi,3 BHK,1554,3,2,55
Super built-up  Area,18-Dec,Thanisandra,2 BHK,1000 - 1285,2,0,43.415
Super built-up  Area,Ready To Move,Bellandur,5 BHK,4239,5,2,423
Built-up  Area,Ready To Move,Konanakunte,2 Bedroom,884,1,0,58
Super built-up  Area,19-Mar,Hosa Road,2 BHK,1045,2,1,98.89
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1019,2,2,49.86
Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,1935,4,2,130
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,1135,2,2,39.73
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,1680,3,2,150
Super built-up  Area,19-Jun,Hebbal,4 BHK,2470,5,2,247
Super built-up  Area,Ready To Move,1st Phase JP Nagar,4 BHK,2825,4,3,250
Super built-up  Area,Ready To Move,Hosakerehalli,3 BHK,2480,3,1,330
Plot  Area,Ready To Move,5th Phase JP Nagar,9 Bedroom,1260,11,,290
Plot  Area,Ready To Move,Ramamurthy Nagar,5 Bedroom,1800,4,3,187
Built-up  Area,Ready To Move,Kasavanhalli,3 BHK,1799,3,3,90
Super built-up  Area,Ready To Move,Whitefield,4 Bedroom,3606 - 5091,,,304
Built-up  Area,Ready To Move,Attibele,1 BHK,400,1,1,11
Built-up  Area,18-Mar,Kundalahalli,2 BHK,1047,2,1,82
Super built-up  Area,Ready To Move,Kaverappa Layout,2 BHK,1282,2,2,87
Super built-up  Area,Ready To Move,NGR Layout,2 BHK,1020,2,1,45.9
Plot  Area,Ready To Move,Kammanahalli,4 Bedroom,1080,3,1,155
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1495,2,1,79.5
Built-up  Area,Ready To Move,Kasavanhalli,4 Bedroom,3260,4,1,240
Super built-up  Area,17-Oct,Divya Unnathi Layout,3 BHK,1611,2,2,64.44
Super built-up  Area,Ready To Move,Koramangala,4 BHK,3500,5,2,425
Built-up  Area,Ready To Move,Vasantha Vallabha Nagar,3 Bedroom,1500,2,2,95
Super built-up  Area,Ready To Move,Sahakara Nagar,3 BHK,1500,2,2,95
Plot  Area,Ready To Move,Yelahanka,4 Bedroom,3206,5,,270
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,1540,3,0,50
Super built-up  Area,18-May,Hosa Road,3 BHK,1639,3,1,80
Plot  Area,Ready To Move,Marathahalli,4 Bedroom,700,4,,72
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1303,2,2,55.79
Super built-up  Area,Ready To Move,Koramangala,2 BHK,1005,1,1,110
Super built-up  Area,Ready To Move,Kammasandra,1 BHK,650 - 665,1,0,18.41
Super built-up  Area,18-Oct,Chandapura,3 BHK,1305,3,1,33.28
Plot  Area,Ready To Move,Kothannur,3 Bedroom,600,4,0,95
Super built-up  Area,Ready To Move,sapthagiri Layout,2 BHK,1300,1,1,115
Super built-up  Area,Ready To Move,Brookefield,3 BHK,1440,2,3,68
Super built-up  Area,18-Dec,Seegehalli,2 BHK,901,2,1,35.14
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,1725,3,3,200
Built-up  Area,Ready To Move,Sarjapur,3 BHK,900,2,1,42
Super built-up  Area,Ready To Move,BEML Layout,2 BHK,1060,2,1,55
Super built-up  Area,Ready To Move,NGR Layout,2 BHK,1020,2,1,48.45
Super built-up  Area,20-Dec,Varthur,3 BHK,1535,3,2,65.99
Built-up  Area,Ready To Move,Alur,1 BHK,530,1,1,20
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,1464,3,2,56
Super built-up  Area,Ready To Move,Devarabisanahalli,2 BHK,1350,2,3,80
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1115,2,2,50
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,1175,2,2,47
Built-up  Area,Ready To Move,Whitefield,2 BHK,1113,2,1,62
Plot  Area,Ready To Move,Uttarahalli,6 Bedroom,1200,4,2,225
Plot  Area,Ready To Move,Ramamurthy Nagar,5 Bedroom,1640,4,3,240
Built-up  Area,Ready To Move,Giri Nagar,2 BHK,650,2,0,42
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1325,2,2,71.55
Built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,950,2,3,31
Super built-up  Area,18-Apr,Jakkur,3 BHK,1396,2,1,86.51
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,1050,2,2,52.07
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1825,3,2,100
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1190,2,1,49.98
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1220,2,1,56.5
Super built-up  Area,Ready To Move,NRI Layout,3 BHK,1565,2,2,75
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,1891,3,1,109
Built-up  Area,Ready To Move,Sidedahalli,2 BHK,900,2,0,27
Super built-up  Area,18-Jul,Hosa Road,2 BHK,1161,2,1,55.15
Super built-up  Area,Ready To Move,Sarjapur,1 BHK,633 - 666,1,0,17.535
Plot  Area,Ready To Move,Dwarka Nagar,8 Bedroom,2400,6,3,125
Plot  Area,Ready To Move,Rajaji Nagar,4 Bedroom,315,4,2,90
Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,665,1,1,36.85
Super built-up  Area,19-Jan,Mysore Road,2 BHK,1175,2,1,73.5
Built-up  Area,Ready To Move,Hoodi,2 BHK,1425,2,2,80
Plot  Area,Ready To Move,Chikkabanavar,1 Bedroom,1200,1,0,20
Plot  Area,18-Aug,ITPL,3 Bedroom,1200,3,1,56.12
Built-up  Area,Ready To Move,Somasundara Palya,2 BHK,1255,2,2,67
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,2112.95,4,2,145
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1 BHK,600,1,1,22
Super built-up  Area,18-Jul,Haralur Road,3 BHK,1810,3,2,100
Super built-up  Area,Ready To Move,Indira Nagar,2 BHK,1200,2,2,93
Super built-up  Area,Ready To Move,Harlur,2 BHK,1033,2,2,49
Super built-up  Area,Ready To Move,ITPL,3 BHK,1548,3,2,89.5
Super built-up  Area,18-May,Horamavu Banaswadi,3 BHK,1611,3,3,66
Built-up  Area,18-Jul,Electronic City Phase II,3 BHK,1400,2,1,40.43
Super built-up  Area,Ready To Move,Vidyaranyapura,3 BHK,1485,2,2,67
Built-up  Area,Ready To Move,Margondanahalli,2 Bedroom,2400,2,1,82
Super built-up  Area,Ready To Move,Pattandur Agrahara,2 BHK,1025,2,1,44.5
Plot  Area,Ready To Move,Thurahalli,4 Bedroom,600,3,2,65
Super built-up  Area,Ready To Move,Hallehalli,2 BHK,1225,2,,53
Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1256,2,1,62.8
Super built-up  Area,Ready To Move,Whitefield,4 BHK,2268,3,2,163
Super built-up  Area,21-Dec,Kanakpura Road,3 BHK,1100,3,2,53
Super built-up  Area,Ready To Move,Vadarpalya,2 BHK,1141,2,0,62
Built-up  Area,Ready To Move,Attibele,1 BHK,400,1,1,12
Plot  Area,Ready To Move,Chandapura,2 Bedroom,1400,2,0,60
Super built-up  Area,Ready To Move,Kattigenahalli,7 BHK,4100,7,,140
Plot  Area,18-Mar,Marathi Layout,1 Bedroom,5.31Acres,1,0,110
Carpet  Area,Ready To Move,Weavers Colony,1 BHK,15,1,0,30
Super built-up  Area,Ready To Move,Raghavendra Nagar,2 BHK,1175,2,2,48.27
Super built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,1100,2,1,56
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1843,3,2,95.84
Plot  Area,Ready To Move,1st Phase JP Nagar,8 Bedroom,1200,7,2,240
Super built-up  Area,19-Dec,Horamavu Banaswadi,2 BHK,1460,2,1,80.5
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,1530,2,2,74.5
Built-up  Area,Ready To Move,HSR Layout,2 BHK,1467,2,1,55
Super built-up  Area,Ready To Move,KR Layout,1 BHK,950,1,1,40
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,1246,2,1,64.5
Super built-up  Area,19-Dec,Kanakapura,1 BHK,711,1,1,38
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,1194,2,2,46
Super built-up  Area,Ready To Move,Babusapalaya,3 BHK,1358,2,1,43.4
Carpet  Area,Ready To Move,Nagasandra,6 Bedroom,1500,5,1,130
Super built-up  Area,Ready To Move,Hoodi,2 BHK,1420,2,2,75
Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,1250,2,1,68.75
Built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,1280,2,,58
Super built-up  Area,Ready To Move,Nagappa Reddy Layout,2 BHK,1209,2,1,50
Built-up  Area,Ready To Move,Kempapura,5 Bedroom,4200,5,2,225
Plot  Area,Ready To Move,BTM 1st Stage,4 Bedroom,1215,4,3,205
Super built-up  Area,Ready To Move,Panathur,3 BHK,1315,2,1,54.8
Super built-up  Area,Ready To Move,Kariyammana Agrahara,3 BHK,1800,3,3,90
Built-up  Area,Ready To Move,Hessarghatta,5 Bedroom,1600,4,0,125
Super built-up  Area,Ready To Move,TC Palaya,3 BHK,1600,2,2,65
Plot  Area,Ready To Move,Binnamangala,6 Bedroom,3968,5,2,900
Super built-up  Area,Ready To Move,Suraksha Nagar,3 BHK,1563,3,2,52
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1560,2,2,72
Super built-up  Area,Ready To Move,Brookefield,3 BHK,2169,4,,115
Plot  Area,Ready To Move,Lakshmi Layout,9 Bedroom,900,10,,170
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,1050,2,2,55.5
Super built-up  Area,Ready To Move,Iblur Village,3 BHK,3235,3,1,235
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,1200,3,0,66
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,1140,2,2,46
Plot  Area,Ready To Move,7th Phase JP Nagar,3 Bedroom,1500,3,1,170
Super built-up  Area,Ready To Move,Horamavu Agara,3 BHK,1560,3,2,75
Super built-up  Area,Ready To Move,JP Nagar,2 BHK,1100,2,2,70
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,1260,2,3,40.32
Super built-up  Area,18-Mar,Hebbal,2 BHK,1036,2,1,50
Built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1662,3,3,85.1
Super built-up  Area,Ready To Move,Yelachenahalli,3 BHK,1464,2,3,105
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1234,2,2,80
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1403,3,1,55
Plot  Area,Ready To Move,Kadugondanahalli,4 Bedroom,915,4,1,54.9
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,6 Bedroom,3000,8,3,451
